service_type,is_mix_service,online_time,1_total_fee,2_total_fee,3_total_fee,4_total_fee,month_traffic,many_over_bill,contract_type,contract_time,is_promise_low_consume,net_service,pay_times,pay_num,last_month_traffic,local_trafffic_month,local_caller_time,service1_caller_time,service2_caller_time,gender,age,complaint_level,former_complaint_num,former_complaint_fee,current_service,user_id
4,0,85,295.96,296.2,296,296.8,3813.614698,0,1,36,0,4,2,300.04,4096,1392.038508,108.1,0,564.3666667,1,31,0,0,0,99999825,Gx4sJzcQog01UhZL
1,0,10,265.2,261.2,208.5,174.5,0,1,0,0,0,4,3,300,0,62852.50972,240.1,355.1666667,0,1,30,0,0,0,90063345,kEXrhTiug93DIcLG
1,0,12,44.5,70.2,69,61.4,2598.397406,0,0,0,0,4,4,50,0,1935.242104,27.66666667,0,98.41666667,2,25,0,0,0,90109916,AouXr0EOUtSRdiYK
4,0,134,87.95,81.4,76,88.3,988.4405632,0,0,0,0,4,1,100,37.33642483,988.561075,89.9,74.48333333,121.8333333,1,44,0,0,0,89950166,Yds7U30hnRZDiLtb
4,0,84,317.04,314.08,435.51,413.05,5885.800642,0,1,24,0,4,12,1000.03,3305.741127,0,0,35.1,496.7333333,1,31,2,1,0,99999825,OFDTSXrhN9Q2mbVw
4,0,46,36,36,36,37.2,218.0034523,0,3,12,0,4,1,30,459.2940483,218.003452,14.63333333,0,14.63333333,1,42,0,0,0,89950168,4qHSn3dkPzJTAjoG
1,0,12,33.6,32.7,38.7,45.7,0,0,0,0,0,4,1,50,0,0,6.116666667,136.0333333,0,1,27,0,0,0,90063345,tXkjbzpTsZcxYPKG
4,0,109,116,116,116,116,635.9462757,0,9,12,0,4,2,200,1024,635.9784,250.8833333,0,310.7333333,1,40,0,0,0,89950167,ro43b68MustgPyOR
4,0,30,73.95,91.42,66,65.95,230.273015,0,0,0,0,4,2,200,500,22.655023,15.28333333,41.9,82.91666667,1,43,1,2,0,89950168,18e2VC0IJ7SkcKzF
1,0,7,89,91,90.6,126.1,0,1,0,0,0,4,2,120,0,7830.505474,33.73333333,0,101.8333333,1,22,0,0,0,90155946,YCEo95zSZ08IJ3PW
4,0,47,42,42,42,42,0,0,2,12,0,2,1,42,800,0,1.916666667,0,9.2,0,0,0,0,0,89950166,M9aTwUjbqQSYK8hN
4,0,51,76.1,156,116,107.3,3048.047233,0,9,12,0,4,2,101,0,2877.650042,128.8,0,144.8166667,1,43,0,0,0,89950166,cfGAgMWTJLt09VDs
4,0,59,123.3,175.2,110.95,178,683.8885632,0,3,12,0,4,3,200,0,699.484269,169.3166667,162.9166667,465.6833333,2,29,0,0,0,99999828,km0xTQGpIYZuXWyL
1,0,7,60.3,145.3,78.2,94.7,0,1,0,0,0,4,1,50,0,46671.924,0,1.916666667,0,1,27,0,0,0,90063345,d9L37fAwopQkWPYh
4,0,122,208.9,225.7,157,241.65,1490.740294,0,9,12,0,4,1,100,865.3767033,892.298403,461.5666667,281.75,724.9,1,56,0,0,0,99999828,UXewZPdJbBiycY8Q
4,0,43,256,327.7,316.5,256.1,3882.650403,1,0,0,0,4,10,1477.6,0,3337.917841,70.98333333,0,98.61666667,2,27,2,1,6000,99999828,Z5igARInaGBkjYdm
1,0,5,7.91,13.7,11.05,15.1,0,1,0,0,0,2,1,50,0,0,0,0,0,1,44,0,0,0,90063345,gH7nkfV2a0cKPQT6
1,0,4,19.6,21.4,12.42,0,0,0,0,0,0,2,1,30,0,3.842385,0.9,0.9,0,1,17,0,0,0,90063345,wnYh1QfSNBcGMTJ5
4,1,65,84.35,98.05,76,76,1824.925221,0,9,12,0,4,1,100,800,1545.382987,58.6,47.11666667,171.7166667,2,30,0,0,0,89950166,zPhEjLIWi3dKV6GU
